ArmModuleId: 	0 	Time: 	2571048 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	50 	D1: 	50 	time_before_control_loop: 	517733060 	time_after_control_loop: 	517801971 	T_diff: 	68911 	AngleAxisMust1: 	184.32 	AngleAxisMust0: 	195.21 	AngleWheelMust1: 	191.588 	AngleWheelMust0: 	177.052 	AngleAxisIs1: 	184.32 	AngleAxisIs0: 	195.21 	AngleWheelIs1: 	177.052 	AngleWheelIs0: 	191.588 	PositionError1: 	0.000335693 	PositionError0: 	-0.00135803 	CurrentMust0: 	0 	CurrentIs0: 	-3 	CurrentMust1: 	0 	CurrentIs1: 	-18 	
ArmModuleId: 	1 	Time: 	2670605 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	30 	D1: 	30 	time_before_control_loop: 	517832639 	time_after_control_loop: 	517903105 	T_diff: 	70466 	AngleAxisMust1: 	189.18 	AngleAxisMust0: 	171.63 	AngleWheelMust1: 	185.181 	AngleWheelMust0: 	193.179 	AngleAxisIs1: 	189.09 	AngleAxisIs0: 	171.63 	AngleWheelIs1: 	193.089 	AngleWheelIs0: 	185.091 	PositionError1: 	0.0885162 	PositionError0: 	0.0894165 	CurrentMust0: 	6 	CurrentIs0: 	-24 	CurrentMust1: 	-6 	CurrentIs1: 	-8 	
ArmModuleId: 	0 	Time: 	2794848 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	50 	D1: 	50 	time_before_control_loop: 	517956856 	time_after_control_loop: 	517983696 	T_diff: 	26840 	AngleAxisMust1: 	183.163 	AngleAxisMust0: 	193.821 	AngleWheelMust1: 	189.767 	AngleWheelMust0: 	176.559 	AngleAxisIs1: 	183.78 	AngleAxisIs0: 	195.93 	AngleWheelIs1: 	176.168 	AngleWheelIs0: 	191.392 	PositionError1: 	0.391327 	PositionError0: 	-1.62245 	CurrentMust0: 	-195 	CurrentIs0: 	-190 	CurrentMust1: 	-50 	CurrentIs1: 	-41 	
ArmModuleId: 	1 	Time: 	2847684 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	30 	D1: 	30 	time_before_control_loop: 	518009727 	time_after_control_loop: 	518036679 	T_diff: 	26952 	AngleAxisMust1: 	187.919 	AngleAxisMust0: 	170.743 	AngleWheelMust1: 	183.496 	AngleWheelMust0: 	192.343 	AngleAxisIs1: 	187.83 	AngleAxisIs0: 	170.55 	AngleWheelIs1: 	192.346 	AngleWheelIs0: 	183.314 	PositionError1: 	-0.00154114 	PositionError0: 	0.184525 	CurrentMust0: 	12 	CurrentIs0: 	13 	CurrentMust1: 	0 	CurrentIs1: 	5 	
ArmModuleId: 	0 	Time: 	2932189 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	50 	D1: 	50 	time_before_control_loop: 	518094199 	time_after_control_loop: 	518121052 	T_diff: 	26853 	AngleAxisMust1: 	183.003 	AngleAxisMust0: 	193.628 	AngleWheelMust1: 	189.515 	AngleWheelMust0: 	176.49 	AngleAxisIs1: 	183.51 	AngleAxisIs0: 	195.93 	AngleWheelIs1: 	175.898 	AngleWheelIs0: 	191.122 	PositionError1: 	0.592438 	PositionError0: 	-1.60672 	CurrentMust0: 	-192 	CurrentIs0: 	-209 	CurrentMust1: 	-77 	CurrentIs1: 	-62 	
ArmModuleId: 	1 	Time: 	2985126 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	30 	D1: 	30 	time_before_control_loop: 	518147161 	time_after_control_loop: 	518176662 	T_diff: 	29501 	AngleAxisMust1: 	187.745 	AngleAxisMust0: 	170.62 	AngleWheelMust1: 	183.263 	AngleWheelMust0: 	192.227 	AngleAxisIs1: 	187.83 	AngleAxisIs0: 	170.37 	AngleWheelIs1: 	192.432 	AngleWheelIs0: 	183.228 	PositionError1: 	-0.204727 	PositionError0: 	0.034729 	CurrentMust0: 	2 	CurrentIs0: 	-9 	CurrentMust1: 	14 	CurrentIs1: 	12 	
ArmModuleId: 	0 	Time: 	3076609 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	50 	D1: 	50 	time_before_control_loop: 	518238619 	time_after_control_loop: 	518270362 	T_diff: 	31743 	AngleAxisMust1: 	182.815 	AngleAxisMust0: 	193.403 	AngleWheelMust1: 	189.219 	AngleWheelMust0: 	176.41 	AngleAxisIs1: 	183.42 	AngleAxisIs0: 	195.93 	AngleWheelIs1: 	175.808 	AngleWheelIs0: 	191.032 	PositionError1: 	0.602478 	PositionError0: 	-1.81187 	CurrentMust0: 	-217 	CurrentIs0: 	-201 	CurrentMust1: 	-78 	CurrentIs1: 	-99 	
ArmModuleId: 	1 	Time: 	3134483 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	30 	D1: 	30 	time_before_control_loop: 	518296521 	time_after_control_loop: 	518323486 	T_diff: 	26965 	AngleAxisMust1: 	187.54 	AngleAxisMust0: 	170.477 	AngleWheelMust1: 	182.99 	AngleWheelMust0: 	192.091 	AngleAxisIs1: 	187.83 	AngleAxisIs0: 	170.19 	AngleWheelIs1: 	192.518 	AngleWheelIs0: 	183.142 	PositionError1: 	-0.426392 	PositionError0: 	-0.152313 	CurrentMust0: 	-10 	CurrentIs0: 	-9 	CurrentMust1: 	29 	CurrentIs1: 	19 	
ArmModuleId: 	0 	Time: 	3215604 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	50 	D1: 	50 	time_before_control_loop: 	518377613 	time_after_control_loop: 	518406673 	T_diff: 	29060 	AngleAxisMust1: 	182.613 	AngleAxisMust0: 	193.16 	AngleWheelMust1: 	188.901 	AngleWheelMust0: 	176.324 	AngleAxisIs1: 	183.42 	AngleAxisIs0: 	195.84 	AngleWheelIs1: 	175.851 	AngleWheelIs0: 	190.989 	PositionError1: 	0.473312 	PositionError0: 	-2.0869 	CurrentMust0: 	-250 	CurrentIs0: 	-246 	CurrentMust1: 	-61 	CurrentIs1: 	-55 	
ArmModuleId: 	1 	Time: 	3271391 	P0: 	70 	P1: 	70 	I0: 	0 	I1: 	0 	D0: 	30 	D1: 	30 	time_before_control_loop: 	518433416 	time_after_control_loop: 	518461996 	T_diff: 	28580 	AngleAxisMust1: 	187.32 	AngleAxisMust0: 	170.322 	AngleWheelMust1: 	182.695 	AngleWheelMust0: 	191.945 	AngleAxisIs1: 	187.92 	AngleAxisIs0: 	170.28 	AngleWheelIs1: 	192.565 	AngleWheelIs0: 	183.275 	PositionError1: 	-0.619553 	PositionError0: 	-0.579498 	CurrentMust0: 	-40 	CurrentIs0: 	-68 	CurrentMust1: 	43 	CurrentIs1: 	66 	
ArmModuleId: 	0 	Time: 	3361747 	P0: 	120 	P1: 	130 	I0: 	0 	I1: 	0 	D0: 	50 	D1: 	50 	time_before_control_loop: 	518523756 	time_after_control_loop: 	518550811 	T_diff: 	27055 	AngleAxisMust1: 	182.397 	AngleAxisMust0: 	192.901 	AngleWheelMust1: 	188.561 	AngleWheelMust0: 	176.232 	AngleAxisIs1: 	183.42 	AngleAxisIs0: 	195.93 	AngleWheelIs1: 	175.808 	AngleWheelIs0: 	191.032 	PositionError1: 	0.424194 	PositionError0: 	-2.46982 	CurrentMust0: 	-296 	CurrentIs0: 	-319 	CurrentMust1: 	-55 	CurrentIs1: 	-151 	
