ArmModuleId: 	0 	Time: 	2716386 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3165709732 	time_after_control_loop: 	3165789287 	T_diff: 	79555 	AngleAxisMust1: 	135.27 	AngleAxisMust0: 	143.73 	AngleWheelMust1: 	117.939 	AngleWheelMust0: 	152.601 	AngleAxisIs1: 	135.27 	AngleAxisIs0: 	143.73 	AngleWheelIs1: 	152.601 	AngleWheelIs0: 	117.939 	PositionError1: 	0.00300598 	PositionError0: 	0.0068512 	CurrentMust0: 	5 	CurrentIs0: 	-3 	CurrentMust1: 	-2 	CurrentIs1: 	-46 	
ArmModuleId: 	1 	Time: 	2834844 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3165828225 	time_after_control_loop: 	3165906324 	T_diff: 	78099 	AngleAxisMust1: 	144.99 	AngleAxisMust0: 	107.46 	AngleWheelMust1: 	110.328 	AngleWheelMust0: 	179.652 	AngleAxisIs1: 	144.9 	AngleAxisIs0: 	107.46 	AngleWheelIs1: 	179.562 	AngleWheelIs0: 	110.238 	PositionError1: 	0.0900421 	PositionError0: 	0.0973816 	CurrentMust0: 	36 	CurrentIs0: 	46 	CurrentMust1: 	-33 	CurrentIs1: 	-61 	
ArmModuleId: 	0 	Time: 	2986894 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3165980234 	time_after_control_loop: 	3166009630 	T_diff: 	29396 	AngleAxisMust1: 	136.406 	AngleAxisMust0: 	144.651 	AngleWheelMust1: 	119.515 	AngleWheelMust0: 	153.297 	AngleAxisIs1: 	133.92 	AngleAxisIs0: 	145.62 	AngleWheelIs1: 	150.348 	AngleWheelIs0: 	117.492 	PositionError1: 	2.94807 	PositionError0: 	2.02109 	CurrentMust0: 	445 	CurrentIs0: 	386 	CurrentMust1: 	-640 	CurrentIs1: 	-713 	
ArmModuleId: 	1 	Time: 	3050382 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3166043736 	time_after_control_loop: 	3166069642 	T_diff: 	25906 	AngleAxisMust1: 	145.879 	AngleAxisMust0: 	109.302 	AngleWheelMust1: 	112.097 	AngleWheelMust0: 	179.661 	AngleAxisIs1: 	144.18 	AngleAxisIs0: 	106.65 	AngleWheelIs1: 	179.229 	AngleWheelIs0: 	109.131 	PositionError1: 	0.431793 	PositionError0: 	2.96381 	CurrentMust0: 	360 	CurrentIs0: 	372 	CurrentMust1: 	-75 	CurrentIs1: 	-48 	
ArmModuleId: 	0 	Time: 	3127040 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3166120360 	time_after_control_loop: 	3166150759 	T_diff: 	30399 	AngleAxisMust1: 	136.574 	AngleAxisMust0: 	144.787 	AngleWheelMust1: 	119.748 	AngleWheelMust0: 	153.399 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.42 	AngleWheelIs1: 	148.588 	AngleWheelIs0: 	117.452 	PositionError1: 	4.81145 	PositionError0: 	2.29487 	CurrentMust0: 	637 	CurrentIs0: 	655 	CurrentMust1: 	-1193 	CurrentIs1: 	-1178 	
ArmModuleId: 	1 	Time: 	3185305 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3166178647 	time_after_control_loop: 	3166206744 	T_diff: 	28097 	AngleAxisMust1: 	146.01 	AngleAxisMust0: 	109.574 	AngleWheelMust1: 	112.358 	AngleWheelMust0: 	179.662 	AngleAxisIs1: 	144.36 	AngleAxisIs0: 	107.19 	AngleWheelIs1: 	179.151 	AngleWheelIs0: 	109.569 	PositionError1: 	0.511139 	PositionError0: 	2.78881 	CurrentMust0: 	422 	CurrentIs0: 	623 	CurrentMust1: 	-95 	CurrentIs1: 	-68 	
ArmModuleId: 	0 	Time: 	3270860 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3166264186 	time_after_control_loop: 	3166290069 	T_diff: 	25883 	AngleAxisMust1: 	136.743 	AngleAxisMust0: 	144.924 	AngleWheelMust1: 	119.983 	AngleWheelMust0: 	153.503 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.69 	AngleWheelIs1: 	148.459 	AngleWheelIs0: 	117.581 	PositionError1: 	5.04433 	PositionError0: 	2.40113 	CurrentMust0: 	822 	CurrentIs0: 	817 	CurrentMust1: 	-1256 	CurrentIs1: 	-1259 	
ArmModuleId: 	1 	Time: 	3321867 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3166315224 	time_after_control_loop: 	3166348258 	T_diff: 	33034 	AngleAxisMust1: 	146.143 	AngleAxisMust0: 	109.849 	AngleWheelMust1: 	112.623 	AngleWheelMust0: 	179.663 	AngleAxisIs1: 	146.61 	AngleAxisIs0: 	110.61 	AngleWheelIs1: 	179.767 	AngleWheelIs0: 	113.453 	PositionError1: 	-0.103363 	PositionError0: 	-0.831245 	CurrentMust0: 	122 	CurrentIs0: 	-298 	CurrentMust1: 	-45 	CurrentIs1: 	-55 	
ArmModuleId: 	0 	Time: 	3409219 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3166402544 	time_after_control_loop: 	3166435759 	T_diff: 	33215 	AngleAxisMust1: 	136.923 	AngleAxisMust0: 	145.07 	AngleWheelMust1: 	120.233 	AngleWheelMust0: 	153.614 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	147.87 	AngleWheelIs1: 	148.463 	AngleWheelIs0: 	117.757 	PositionError1: 	5.15056 	PositionError0: 	2.47481 	CurrentMust0: 	871 	CurrentIs0: 	884 	CurrentMust1: 	-1272 	CurrentIs1: 	-1244 	
ArmModuleId: 	1 	Time: 	3469609 	P0: 	90 	P1: 	90 	I0: 	0.2 	I1: 	0.2 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3166462950 	time_after_control_loop: 	3166488817 	T_diff: 	25867 	AngleAxisMust1: 	146.284 	AngleAxisMust0: 	110.141 	AngleWheelMust1: 	112.903 	AngleWheelMust0: 	179.665 	AngleAxisIs1: 	148.41 	AngleAxisIs0: 	115.02 	AngleWheelIs1: 	179.46 	AngleWheelIs0: 	117.36 	PositionError1: 	0.205276 	PositionError0: 	-4.45813 	CurrentMust0: 	-281 	CurrentIs0: 	-262 	CurrentMust1: 	-75 	CurrentIs1: 	-35 	
ArmModuleId: 	0 	Time: 	3552453 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	7 	D1: 	7 	time_before_control_loop: 	3166545779 	time_after_control_loop: 	3166574546 	T_diff: 	28767 	AngleAxisMust1: 	137.114 	AngleAxisMust0: 	145.225 	AngleWheelMust1: 	120.498 	AngleWheelMust0: 	153.731 	AngleAxisIs1: 	133.02 	AngleAxisIs0: 	147.78 	AngleWheelIs1: 	148.416 	AngleWheelIs0: 	117.624 	PositionError1: 	5.31456 	PositionError0: 	2.87281 	CurrentMust0: 	930 	CurrentIs0: 	920 	CurrentMust1: 	-1297 	CurrentIs1: 	-1303 	
