ArmModuleId: 	0 	Time: 	2575879 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3371525337 	time_after_control_loop: 	3371592291 	T_diff: 	66954 	AngleAxisMust1: 	173.52 	AngleAxisMust0: 	179.91 	AngleWheelMust1: 	173.477 	AngleWheelMust0: 	173.563 	AngleAxisIs1: 	173.43 	AngleAxisIs0: 	180 	AngleWheelIs1: 	173.43 	AngleWheelIs0: 	173.43 	PositionError1: 	0.133759 	PositionError0: 	0.0477753 	CurrentMust0: 	37 	CurrentIs0: 	54 	CurrentMust1: 	-106 	CurrentIs1: 	-108 	
ArmModuleId: 	1 	Time: 	2673103 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3371622580 	time_after_control_loop: 	3371699508 	T_diff: 	76928 	AngleAxisMust1: 	181.71 	AngleAxisMust0: 	178.02 	AngleWheelMust1: 	180.764 	AngleWheelMust0: 	182.656 	AngleAxisIs1: 	181.71 	AngleAxisIs0: 	178.02 	AngleWheelIs1: 	182.656 	AngleWheelIs0: 	180.764 	PositionError1: 	-0.000289917 	PositionError0: 	-9.15527e-05 	CurrentMust0: 	0 	CurrentIs0: 	13 	CurrentMust1: 	0 	CurrentIs1: 	-5 	
ArmModuleId: 	0 	Time: 	2803318 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3371752770 	time_after_control_loop: 	3371784928 	T_diff: 	32158 	AngleAxisMust1: 	174.733 	AngleAxisMust0: 	180.986 	AngleWheelMust1: 	175.205 	AngleWheelMust0: 	174.262 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.72 	AngleWheelIs1: 	172.906 	AngleWheelIs0: 	173.594 	PositionError1: 	1.35535 	PositionError0: 	1.60831 	CurrentMust0: 	366 	CurrentIs0: 	374 	CurrentMust1: 	-376 	CurrentIs1: 	-381 	
ArmModuleId: 	1 	Time: 	2861354 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3371810825 	time_after_control_loop: 	3371841793 	T_diff: 	30968 	AngleAxisMust1: 	182.747 	AngleAxisMust0: 	179.137 	AngleWheelMust1: 	182.335 	AngleWheelMust0: 	183.16 	AngleAxisIs1: 	180.81 	AngleAxisIs0: 	177.12 	AngleWheelIs1: 	182.186 	AngleWheelIs0: 	179.434 	PositionError1: 	0.973007 	PositionError0: 	2.89864 	CurrentMust0: 	288 	CurrentIs0: 	277 	CurrentMust1: 	-96 	CurrentIs1: 	-88 	
ArmModuleId: 	0 	Time: 	2950276 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3371899729 	time_after_control_loop: 	3371930314 	T_diff: 	30585 	AngleAxisMust1: 	174.913 	AngleAxisMust0: 	181.146 	AngleWheelMust1: 	175.461 	AngleWheelMust0: 	174.366 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.63 	AngleWheelIs1: 	172.949 	AngleWheelIs0: 	173.551 	PositionError1: 	1.41676 	PositionError0: 	1.90933 	CurrentMust0: 	540 	CurrentIs0: 	533 	CurrentMust1: 	-483 	CurrentIs1: 	-477 	
ArmModuleId: 	1 	Time: 	3007068 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3371956550 	time_after_control_loop: 	3371986398 	T_diff: 	29848 	AngleAxisMust1: 	182.901 	AngleAxisMust0: 	179.302 	AngleWheelMust1: 	182.568 	AngleWheelMust0: 	183.235 	AngleAxisIs1: 	181.35 	AngleAxisIs0: 	178.02 	AngleWheelIs1: 	182.296 	AngleWheelIs0: 	180.404 	PositionError1: 	0.938446 	PositionError0: 	2.16364 	CurrentMust0: 	258 	CurrentIs0: 	349 	CurrentMust1: 	-107 	CurrentIs1: 	-68 	
ArmModuleId: 	0 	Time: 	3094493 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3372043945 	time_after_control_loop: 	3372070644 	T_diff: 	26699 	AngleAxisMust1: 	175.118 	AngleAxisMust0: 	181.327 	AngleWheelMust1: 	175.752 	AngleWheelMust0: 	174.484 	AngleAxisIs1: 	173.25 	AngleAxisIs0: 	180.63 	AngleWheelIs1: 	172.949 	AngleWheelIs0: 	173.551 	PositionError1: 	1.53435 	PositionError0: 	2.19987 	CurrentMust0: 	732 	CurrentIs0: 	711 	CurrentMust1: 	-607 	CurrentIs1: 	-610 	
ArmModuleId: 	1 	Time: 	3149072 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3372098549 	time_after_control_loop: 	3372130214 	T_diff: 	31665 	AngleAxisMust1: 	183.076 	AngleAxisMust0: 	179.49 	AngleWheelMust1: 	182.832 	AngleWheelMust0: 	183.319 	AngleAxisIs1: 	183.42 	AngleAxisIs0: 	181.53 	AngleWheelIs1: 	182.689 	AngleWheelIs0: 	184.151 	PositionError1: 	0.630371 	PositionError0: 	-1.31934 	CurrentMust0: 	-48 	CurrentIs0: 	-195 	CurrentMust1: 	-91 	CurrentIs1: 	-61 	
ArmModuleId: 	0 	Time: 	3234745 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3372184202 	time_after_control_loop: 	3372214971 	T_diff: 	30769 	AngleAxisMust1: 	175.324 	AngleAxisMust0: 	181.51 	AngleWheelMust1: 	176.046 	AngleWheelMust0: 	174.603 	AngleAxisIs1: 	173.16 	AngleAxisIs0: 	180.72 	AngleWheelIs1: 	172.816 	AngleWheelIs0: 	173.504 	PositionError1: 	1.78641 	PositionError0: 	2.54108 	CurrentMust0: 	881 	CurrentIs0: 	880 	CurrentMust1: 	-762 	CurrentIs1: 	-759 	
ArmModuleId: 	1 	Time: 	3295434 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3372244939 	time_after_control_loop: 	3372275548 	T_diff: 	30609 	AngleAxisMust1: 	183.253 	AngleAxisMust0: 	179.68 	AngleWheelMust1: 	183.1 	AngleWheelMust0: 	183.405 	AngleAxisIs1: 	185.13 	AngleAxisIs0: 	184.5 	AngleWheelIs1: 	182.98 	AngleWheelIs0: 	187.28 	PositionError1: 	0.425339 	PositionError0: 	-4.18092 	CurrentMust0: 	-346 	CurrentIs0: 	-364 	CurrentMust1: 	-80 	CurrentIs1: 	-68 	
ArmModuleId: 	0 	Time: 	3379224 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3372328677 	time_after_control_loop: 	3372363768 	T_diff: 	35091 	AngleAxisMust1: 	175.556 	AngleAxisMust0: 	181.715 	AngleWheelMust1: 	176.375 	AngleWheelMust0: 	174.736 	AngleAxisIs1: 	173.16 	AngleAxisIs0: 	180.63 	AngleWheelIs1: 	172.859 	AngleWheelIs0: 	173.461 	PositionError1: 	1.87668 	PositionError0: 	2.91338 	CurrentMust0: 	937 	CurrentIs0: 	947 	CurrentMust1: 	-781 	CurrentIs1: 	-759 	
ArmModuleId: 	1 	Time: 	3444966 	P0: 	90 	P1: 	90 	I0: 	0.1 	I1: 	0.1 	D0: 	5 	D1: 	5 	time_before_control_loop: 	3372394429 	time_after_control_loop: 	3372430743 	T_diff: 	36314 	AngleAxisMust1: 	183.45 	AngleAxisMust0: 	179.893 	AngleWheelMust1: 	183.399 	AngleWheelMust0: 	183.501 	AngleAxisIs1: 	185.94 	AngleAxisIs0: 	184.14 	AngleWheelIs1: 	183.962 	AngleWheelIs0: 	187.918 	PositionError1: 	-0.460648 	PositionError0: 	-4.51944 	CurrentMust0: 	-441 	CurrentIs0: 	-436 	CurrentMust1: 	0 	CurrentIs1: 	5 	
