ArmModuleId: 	0 	Time: 	2774176 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4114277104 	time_after_control_loop: 	4114348535 	T_diff: 	71431 	AngleAxisMust1: 	135.72 	AngleAxisMust0: 	143.91 	AngleWheelMust1: 	118.475 	AngleWheelMust0: 	152.965 	AngleAxisIs1: 	135.72 	AngleAxisIs0: 	143.73 	AngleWheelIs1: 	153.051 	AngleWheelIs0: 	118.389 	PositionError1: 	-0.0830994 	PositionError0: 	0.0926666 	CurrentMust0: 	78 	CurrentIs0: 	71 	CurrentMust1: 	70 	CurrentIs1: 	49 	
ArmModuleId: 	1 	Time: 	2874981 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4114377994 	time_after_control_loop: 	4114461694 	T_diff: 	83700 	AngleAxisMust1: 	144.27 	AngleAxisMust0: 	110.34 	AngleWheelMust1: 	110.984 	AngleWheelMust0: 	177.556 	AngleAxisIs1: 	144.18 	AngleAxisIs0: 	110.16 	AngleWheelIs1: 	177.552 	AngleWheelIs0: 	110.808 	PositionError1: 	0.0042572 	PositionError0: 	0.18322 	CurrentMust0: 	67 	CurrentIs0: 	46 	CurrentMust1: 	-1 	CurrentIs1: 	-7 	
ArmModuleId: 	0 	Time: 	3028491 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4114531412 	time_after_control_loop: 	4114559317 	T_diff: 	27905 	AngleAxisMust1: 	136.886 	AngleAxisMust0: 	144.861 	AngleWheelMust1: 	120.096 	AngleWheelMust0: 	153.677 	AngleAxisIs1: 	134.28 	AngleAxisIs0: 	145.89 	AngleWheelIs1: 	150.579 	AngleWheelIs0: 	117.981 	PositionError1: 	3.09743 	PositionError0: 	2.11269 	CurrentMust0: 	521 	CurrentIs0: 	511 	CurrentMust1: 	-598 	CurrentIs1: 	-394 	
ArmModuleId: 	1 	Time: 	3088390 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4114591350 	time_after_control_loop: 	4114627987 	T_diff: 	36637 	AngleAxisMust1: 	145.211 	AngleAxisMust0: 	112.175 	AngleWheelMust1: 	112.802 	AngleWheelMust0: 	177.62 	AngleAxisIs1: 	143.19 	AngleAxisIs0: 	109.26 	AngleWheelIs1: 	176.992 	AngleWheelIs0: 	109.388 	PositionError1: 	0.62825 	PositionError0: 	3.41155 	CurrentMust0: 	402 	CurrentIs0: 	392 	CurrentMust1: 	-65 	CurrentIs1: 	-69 	
ArmModuleId: 	0 	Time: 	3187512 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4114690434 	time_after_control_loop: 	4114740921 	T_diff: 	50487 	AngleAxisMust1: 	137.075 	AngleAxisMust0: 	145.014 	AngleWheelMust1: 	120.357 	AngleWheelMust0: 	153.792 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.5 	AngleWheelIs1: 	148.162 	AngleWheelIs0: 	118.058 	PositionError1: 	5.63004 	PositionError0: 	2.29832 	CurrentMust0: 	724 	CurrentIs0: 	733 	CurrentMust1: 	-1324 	CurrentIs1: 	-1324 	
ArmModuleId: 	1 	Time: 	3267377 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4114770320 	time_after_control_loop: 	4114798952 	T_diff: 	28632 	AngleAxisMust1: 	145.363 	AngleAxisMust0: 	112.471 	AngleWheelMust1: 	113.095 	AngleWheelMust0: 	177.631 	AngleAxisIs1: 	143.73 	AngleAxisIs0: 	110.7 	AngleWheelIs1: 	176.844 	AngleWheelIs0: 	110.616 	PositionError1: 	0.786774 	PositionError0: 	2.4787 	CurrentMust0: 	398 	CurrentIs0: 	-92 	CurrentMust1: 	-102 	CurrentIs1: 	-99 	
ArmModuleId: 	0 	Time: 	3353227 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4114856150 	time_after_control_loop: 	4114896367 	T_diff: 	40217 	AngleAxisMust1: 	137.281 	AngleAxisMust0: 	145.182 	AngleWheelMust1: 	120.643 	AngleWheelMust0: 	153.918 	AngleAxisIs1: 	133.2 	AngleAxisIs0: 	148.77 	AngleWheelIs1: 	148.123 	AngleWheelIs0: 	118.277 	PositionError1: 	5.79488 	PositionError0: 	2.36561 	CurrentMust0: 	854 	CurrentIs0: 	851 	CurrentMust1: 	-1369 	CurrentIs1: 	-1346 	
ArmModuleId: 	1 	Time: 	3435200 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4114938151 	time_after_control_loop: 	4114968159 	T_diff: 	30008 	AngleAxisMust1: 	145.529 	AngleAxisMust0: 	112.795 	AngleWheelMust1: 	113.417 	AngleWheelMust0: 	177.642 	AngleAxisIs1: 	147.24 	AngleAxisIs0: 	116.1 	AngleWheelIs1: 	177.773 	AngleWheelIs0: 	116.707 	PositionError1: 	-0.131561 	PositionError0: 	-3.2905 	CurrentMust0: 	-76 	CurrentIs0: 	-305 	CurrentMust1: 	-40 	CurrentIs1: 	-59 	
ArmModuleId: 	0 	Time: 	3528291 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4115031212 	time_after_control_loop: 	4115064323 	T_diff: 	33111 	AngleAxisMust1: 	137.502 	AngleAxisMust0: 	145.362 	AngleWheelMust1: 	120.95 	AngleWheelMust0: 	154.053 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.95 	AngleWheelIs1: 	147.947 	AngleWheelIs0: 	118.273 	PositionError1: 	6.10573 	PositionError0: 	2.67652 	CurrentMust0: 	901 	CurrentIs0: 	925 	CurrentMust1: 	-1415 	CurrentIs1: 	-1427 	
ArmModuleId: 	1 	Time: 	3588013 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	4115090970 	time_after_control_loop: 	4115138867 	T_diff: 	47897 	AngleAxisMust1: 	145.708 	AngleAxisMust0: 	113.143 	AngleWheelMust1: 	113.761 	AngleWheelMust0: 	177.654 	AngleAxisIs1: 	148.77 	AngleAxisIs0: 	120.42 	AngleWheelIs1: 	177.239 	AngleWheelIs0: 	120.301 	PositionError1: 	0.414871 	PositionError0: 	-6.54053 	CurrentMust0: 	-487 	CurrentIs0: 	-409 	CurrentMust1: 	-88 	CurrentIs1: 	-92 	
ArmModuleId: 	0 	Time: 	3689077 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	4115192004 	time_after_control_loop: 	4115224055 	T_diff: 	32051 	AngleAxisMust1: 	137.746 	AngleAxisMust0: 	145.562 	AngleWheelMust1: 	121.29 	AngleWheelMust0: 	154.202 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	148.86 	AngleWheelIs1: 	147.99 	AngleWheelIs0: 	118.23 	PositionError1: 	6.21216 	PositionError0: 	3.05956 	CurrentMust0: 	958 	CurrentIs0: 	955 	CurrentMust1: 	-1431 	CurrentIs1: 	-1427 	
