ArmModuleId: 	0 	Time: 	2763469 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670115229 	time_after_control_loop: 	2670205051 	T_diff: 	89822 	AngleAxisMust1: 	123.66 	AngleAxisMust0: 	140.13 	AngleWheelMust1: 	104.609 	AngleWheelMust0: 	142.711 	AngleAxisIs1: 	123.84 	AngleAxisIs0: 	140.22 	AngleWheelIs1: 	142.848 	AngleWheelIs0: 	104.832 	PositionError1: 	-0.132965 	PositionError0: 	-0.214806 	CurrentMust0: 	-42 	CurrentIs0: 	-64 	CurrentMust1: 	33 	CurrentIs1: 	27 	
ArmModuleId: 	1 	Time: 	2887805 	P0: 	150 	P1: 	300 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670239592 	time_after_control_loop: 	2670315797 	T_diff: 	76205 	AngleAxisMust1: 	128.25 	AngleAxisMust0: 	103.5 	AngleWheelMust1: 	91.6958 	AngleWheelMust0: 	164.804 	AngleAxisIs1: 	128.43 	AngleAxisIs0: 	103.5 	AngleWheelIs1: 	164.984 	AngleWheelIs0: 	91.8758 	PositionError1: 	-0.178421 	PositionError0: 	-0.170822 	CurrentMust0: 	-25 	CurrentIs0: 	-24 	CurrentMust1: 	53 	CurrentIs1: 	48 	
ArmModuleId: 	0 	Time: 	3028386 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670380149 	time_after_control_loop: 	2670418246 	T_diff: 	38097 	AngleAxisMust1: 	125.152 	AngleAxisMust0: 	141.186 	AngleWheelMust1: 	106.605 	AngleWheelMust0: 	143.699 	AngleAxisIs1: 	122.22 	AngleAxisIs0: 	142.38 	AngleWheelIs1: 	140.196 	AngleWheelIs0: 	104.244 	PositionError1: 	3.5014 	PositionError0: 	2.35895 	CurrentMust0: 	471 	CurrentIs0: 	467 	CurrentMust1: 	-875 	CurrentIs1: 	-1134 	
ArmModuleId: 	1 	Time: 	3101917 	P0: 	150 	P1: 	300 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670453716 	time_after_control_loop: 	2670485243 	T_diff: 	31527 	AngleAxisMust1: 	129.62 	AngleAxisMust0: 	105.526 	AngleWheelMust1: 	94.0341 	AngleWheelMust0: 	165.207 	AngleAxisIs1: 	127.35 	AngleAxisIs0: 	102.6 	AngleWheelIs1: 	164.334 	AngleWheelIs0: 	90.3658 	PositionError1: 	0.87178 	PositionError0: 	3.66505 	CurrentMust0: 	549 	CurrentIs0: 	636 	CurrentMust1: 	-261 	CurrentIs1: 	-254 	
ArmModuleId: 	0 	Time: 	3193815 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670545559 	time_after_control_loop: 	2670572598 	T_diff: 	27039 	AngleAxisMust1: 	125.392 	AngleAxisMust0: 	141.356 	AngleWheelMust1: 	106.926 	AngleWheelMust0: 	143.857 	AngleAxisIs1: 	120.87 	AngleAxisIs0: 	145.71 	AngleWheelIs1: 	137.255 	AngleWheelIs0: 	104.485 	PositionError1: 	6.60217 	PositionError0: 	2.44046 	CurrentMust0: 	488 	CurrentIs0: 	490 	CurrentMust1: 	-1650 	CurrentIs1: 	-1630 	
ArmModuleId: 	1 	Time: 	3245423 	P0: 	150 	P1: 	300 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670597179 	time_after_control_loop: 	2670623757 	T_diff: 	26578 	AngleAxisMust1: 	129.841 	AngleAxisMust0: 	105.851 	AngleWheelMust1: 	94.4101 	AngleWheelMust0: 	165.271 	AngleAxisIs1: 	127.53 	AngleAxisIs0: 	103.05 	AngleWheelIs1: 	164.299 	AngleWheelIs0: 	90.7608 	PositionError1: 	0.971924 	PositionError0: 	3.64851 	CurrentMust0: 	547 	CurrentIs0: 	-461 	CurrentMust1: 	-291 	CurrentIs1: 	-347 	
ArmModuleId: 	0 	Time: 	3330012 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670681758 	time_after_control_loop: 	2670709574 	T_diff: 	27816 	AngleAxisMust1: 	125.613 	AngleAxisMust0: 	141.512 	AngleWheelMust1: 	107.222 	AngleWheelMust0: 	144.004 	AngleAxisIs1: 	120.96 	AngleAxisIs0: 	145.89 	AngleWheelIs1: 	137.259 	AngleWheelIs0: 	104.661 	PositionError1: 	6.74437 	PositionError0: 	2.55997 	CurrentMust0: 	511 	CurrentIs0: 	527 	CurrentMust1: 	-1686 	CurrentIs1: 	-1671 	
ArmModuleId: 	1 	Time: 	3385389 	P0: 	150 	P1: 	300 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670737152 	time_after_control_loop: 	2670764290 	T_diff: 	27138 	AngleAxisMust1: 	130.044 	AngleAxisMust0: 	106.151 	AngleWheelMust1: 	94.7563 	AngleWheelMust0: 	165.331 	AngleAxisIs1: 	131.49 	AngleAxisIs0: 	108.09 	AngleWheelIs1: 	165.851 	AngleWheelIs0: 	97.1291 	PositionError1: 	-0.520218 	PositionError0: 	-2.37353 	CurrentMust0: 	-356 	CurrentIs0: 	-254 	CurrentMust1: 	156 	CurrentIs1: 	162 	
ArmModuleId: 	0 	Time: 	3464176 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670815922 	time_after_control_loop: 	2670846924 	T_diff: 	31002 	AngleAxisMust1: 	125.835 	AngleAxisMust0: 	141.669 	AngleWheelMust1: 	107.519 	AngleWheelMust0: 	144.15 	AngleAxisIs1: 	120.87 	AngleAxisIs0: 	146.16 	AngleWheelIs1: 	137.04 	AngleWheelIs0: 	104.7 	PositionError1: 	7.11032 	PositionError0: 	2.81804 	CurrentMust0: 	563 	CurrentIs0: 	578 	CurrentMust1: 	-1777 	CurrentIs1: 	-1782 	
ArmModuleId: 	1 	Time: 	3520326 	P0: 	150 	P1: 	300 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670872090 	time_after_control_loop: 	2670902531 	T_diff: 	30441 	AngleAxisMust1: 	130.247 	AngleAxisMust0: 	106.453 	AngleWheelMust1: 	95.1043 	AngleWheelMust0: 	165.391 	AngleAxisIs1: 	133.11 	AngleAxisIs0: 	114.57 	AngleWheelIs1: 	164.375 	AngleWheelIs0: 	101.845 	PositionError1: 	1.01599 	PositionError0: 	-6.74192 	CurrentMust0: 	-1011 	CurrentIs0: 	-777 	CurrentMust1: 	-304 	CurrentIs1: 	0 	
ArmModuleId: 	0 	Time: 	3618286 	P0: 	200 	P1: 	250 	I0: 	0 	I1: 	0 	D0: 	0 	D1: 	0 	time_before_control_loop: 	2670970040 	time_after_control_loop: 	2670996999 	T_diff: 	26959 	AngleAxisMust1: 	126.098 	AngleAxisMust0: 	141.855 	AngleWheelMust1: 	107.871 	AngleWheelMust0: 	144.325 	AngleAxisIs1: 	120.96 	AngleAxisIs0: 	145.62 	AngleWheelIs1: 	137.388 	AngleWheelIs0: 	104.532 	PositionError1: 	6.93631 	PositionError0: 	3.33789 	CurrentMust0: 	667 	CurrentIs0: 	689 	CurrentMust1: 	-1734 	CurrentIs1: 	-1723 	
