ArmModuleId: 	0 	Time: 	2765396 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	383699628 	time_after_control_loop: 	383773654 	T_diff: 	74026 	AngleAxisMust1: 	176.58 	AngleAxisMust0: 	176.22 	AngleWheelMust1: 	174.774 	AngleWheelMust0: 	178.386 	AngleAxisIs1: 	176.67 	AngleAxisIs0: 	176.13 	AngleWheelIs1: 	178.519 	AngleWheelIs0: 	174.821 	PositionError1: 	-0.132828 	PositionError0: 	-0.0464325 	CurrentMust0: 	-39 	CurrentIs0: 	-47 	CurrentMust1: 	111 	CurrentIs1: 	99 	
ArmModuleId: 	1 	Time: 	2865820 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	383800079 	time_after_control_loop: 	383885960 	T_diff: 	85881 	AngleAxisMust1: 	180.36 	AngleAxisMust0: 	184.41 	AngleWheelMust1: 	182.467 	AngleWheelMust0: 	178.253 	AngleAxisIs1: 	180.54 	AngleAxisIs0: 	184.32 	AngleWheelIs1: 	178.476 	AngleWheelIs0: 	182.604 	PositionError1: 	-0.222809 	PositionError0: 	-0.137253 	CurrentMust0: 	-50 	CurrentIs0: 	-75 	CurrentMust1: 	81 	CurrentIs1: 	75 	
ArmModuleId: 	0 	Time: 	3015970 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	383950203 	time_after_control_loop: 	383985653 	T_diff: 	35450 	AngleAxisMust1: 	177.984 	AngleAxisMust0: 	177.633 	AngleWheelMust1: 	176.853 	AngleWheelMust0: 	179.115 	AngleAxisIs1: 	175.41 	AngleAxisIs0: 	177.03 	AngleWheelIs1: 	176.829 	AngleWheelIs0: 	173.991 	PositionError1: 	2.28453 	PositionError0: 	2.85918 	CurrentMust0: 	573 	CurrentIs0: 	558 	CurrentMust1: 	-385 	CurrentIs1: 	-360 	
ArmModuleId: 	1 	Time: 	3081633 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	384015882 	time_after_control_loop: 	384047139 	T_diff: 	31257 	AngleAxisMust1: 	181.664 	AngleAxisMust0: 	185.608 	AngleWheelMust1: 	184.344 	AngleWheelMust0: 	178.985 	AngleAxisIs1: 	178.74 	AngleAxisIs0: 	182.88 	AngleWheelIs1: 	177.364 	AngleWheelIs0: 	180.116 	PositionError1: 	1.61977 	PositionError0: 	4.22505 	CurrentMust0: 	386 	CurrentIs0: 	355 	CurrentMust1: 	-95 	CurrentIs1: 	-99 	
ArmModuleId: 	0 	Time: 	3178057 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	384112300 	time_after_control_loop: 	384160442 	T_diff: 	48142 	AngleAxisMust1: 	178.197 	AngleAxisMust0: 	177.848 	AngleWheelMust1: 	177.169 	AngleWheelMust0: 	179.225 	AngleAxisIs1: 	175.05 	AngleAxisIs0: 	176.94 	AngleWheelIs1: 	176.512 	AngleWheelIs0: 	173.588 	PositionError1: 	2.71294 	PositionError0: 	3.5802 	CurrentMust0: 	942 	CurrentIs0: 	957 	CurrentMust1: 	-652 	CurrentIs1: 	-660 	
ArmModuleId: 	1 	Time: 	3258447 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	384192700 	time_after_control_loop: 	384218080 	T_diff: 	25380 	AngleAxisMust1: 	181.863 	AngleAxisMust0: 	185.79 	AngleWheelMust1: 	184.629 	AngleWheelMust0: 	179.096 	AngleAxisIs1: 	179.46 	AngleAxisIs0: 	184.05 	AngleWheelIs1: 	177.525 	AngleWheelIs0: 	181.395 	PositionError1: 	1.57095 	PositionError0: 	3.23346 	CurrentMust0: 	439 	CurrentIs0: 	-387 	CurrentMust1: 	-148 	CurrentIs1: 	-139 	
ArmModuleId: 	0 	Time: 	3342449 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	384276662 	time_after_control_loop: 	384302336 	T_diff: 	25674 	AngleAxisMust1: 	178.44 	AngleAxisMust0: 	178.092 	AngleWheelMust1: 	177.528 	AngleWheelMust0: 	179.351 	AngleAxisIs1: 	175.05 	AngleAxisIs0: 	176.94 	AngleWheelIs1: 	176.512 	AngleWheelIs0: 	173.588 	PositionError1: 	2.83893 	PositionError0: 	3.93976 	CurrentMust0: 	1090 	CurrentIs0: 	1112 	CurrentMust1: 	-898 	CurrentIs1: 	-903 	
ArmModuleId: 	1 	Time: 	3393438 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	384327675 	time_after_control_loop: 	384356510 	T_diff: 	28835 	AngleAxisMust1: 	182.088 	AngleAxisMust0: 	185.997 	AngleWheelMust1: 	184.954 	AngleWheelMust0: 	179.223 	AngleAxisIs1: 	181.08 	AngleAxisIs0: 	187.38 	AngleWheelIs1: 	177.554 	AngleWheelIs0: 	184.606 	PositionError1: 	1.66869 	PositionError0: 	0.34671 	CurrentMust0: 	227 	CurrentIs0: 	-217 	CurrentMust1: 	-199 	CurrentIs1: 	-206 	
ArmModuleId: 	0 	Time: 	3475804 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	384410022 	time_after_control_loop: 	384439097 	T_diff: 	29075 	AngleAxisMust1: 	178.661 	AngleAxisMust0: 	178.315 	AngleWheelMust1: 	177.856 	AngleWheelMust0: 	179.466 	AngleAxisIs1: 	175.05 	AngleAxisIs0: 	177.03 	AngleWheelIs1: 	176.469 	AngleWheelIs0: 	173.631 	PositionError1: 	2.99666 	PositionError0: 	4.22412 	CurrentMust0: 	1133 	CurrentIs0: 	1112 	CurrentMust1: 	-949 	CurrentIs1: 	-948 	
ArmModuleId: 	1 	Time: 	3541910 	P0: 	80 	P1: 	80 	I0: 	0.2 	I1: 	0.2 	D0: 	3 	D1: 	3 	time_before_control_loop: 	384476155 	time_after_control_loop: 	384504642 	T_diff: 	28487 	AngleAxisMust1: 	182.294 	AngleAxisMust0: 	186.186 	AngleWheelMust1: 	185.249 	AngleWheelMust0: 	179.338 	AngleAxisIs1: 	183.96 	AngleAxisIs0: 	193.86 	AngleWheelIs1: 	177.337 	AngleWheelIs0: 	190.583 	PositionError1: 	2.00035 	PositionError0: 	-5.33391 	CurrentMust0: 	-300 	CurrentIs0: 	-78 	CurrentMust1: 	-280 	CurrentIs1: 	-286 	
ArmModuleId: 	0 	Time: 	3632666 	P0: 	150 	P1: 	150 	I0: 	0.5 	I1: 	0.5 	D0: 	10 	D1: 	10 	time_before_control_loop: 	384566888 	time_after_control_loop: 	384593431 	T_diff: 	26543 	AngleAxisMust1: 	178.907 	AngleAxisMust0: 	178.563 	AngleWheelMust1: 	178.221 	AngleWheelMust0: 	179.594 	AngleAxisIs1: 	175.14 	AngleAxisIs0: 	176.94 	AngleWheelIs1: 	176.602 	AngleWheelIs0: 	173.678 	PositionError1: 	2.99158 	PositionError0: 	4.54227 	CurrentMust0: 	1181 	CurrentIs0: 	1201 	CurrentMust1: 	-948 	CurrentIs1: 	-940 	
