ArmModuleId: 	0 	Time: 	2761823 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.5 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3712736750 	time_after_control_loop: 	3712810126 	T_diff: 	73376 	AngleAxisMust1: 	228.6 	AngleAxisMust0: 	198 	AngleWheelMust1: 	237.201 	AngleWheelMust0: 	219.999 	AngleAxisIs1: 	228.6 	AngleAxisIs0: 	197.91 	AngleWheelIs1: 	220.042 	AngleWheelIs0: 	237.158 	PositionError1: 	-0.0473328 	PositionError0: 	0.0367889 	CurrentMust0: 	32 	CurrentIs0: 	24 	CurrentMust1: 	41 	CurrentIs1: 	41 	
ArmModuleId: 	1 	Time: 	2870327 	P0: 	100 	P1: 	100 	I0: 	0.3 	I1: 	0.3 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3712845314 	time_after_control_loop: 	3712924901 	T_diff: 	79587 	AngleAxisMust1: 	204.21 	AngleAxisMust0: 	232.83 	AngleWheelMust1: 	229.454 	AngleWheelMust0: 	178.966 	AngleAxisIs1: 	204.21 	AngleAxisIs0: 	232.83 	AngleWheelIs1: 	178.966 	AngleWheelIs0: 	229.454 	PositionError1: 	0.000106812 	PositionError0: 	-0.00517273 	CurrentMust0: 	-2 	CurrentIs0: 	-1 	CurrentMust1: 	0 	CurrentIs1: 	4 	
ArmModuleId: 	0 	Time: 	3020199 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.5 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3712995128 	time_after_control_loop: 	3713024758 	T_diff: 	29630 	AngleAxisMust1: 	227.323 	AngleAxisMust0: 	197.527 	AngleWheelMust1: 	235.698 	AngleWheelMust0: 	218.948 	AngleAxisIs1: 	228.51 	AngleAxisIs0: 	198.36 	AngleWheelIs1: 	219.737 	AngleWheelIs0: 	237.283 	PositionError1: 	-0.788025 	PositionError0: 	-1.58368 	CurrentMust0: 	-359 	CurrentIs0: 	-175 	CurrentMust1: 	228 	CurrentIs1: 	224 	
ArmModuleId: 	1 	Time: 	3084378 	P0: 	100 	P1: 	100 	I0: 	0.3 	I1: 	0.3 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3713059323 	time_after_control_loop: 	3713090739 	T_diff: 	31416 	AngleAxisMust1: 	203.574 	AngleAxisMust0: 	231.441 	AngleWheelMust1: 	228.154 	AngleWheelMust0: 	178.993 	AngleAxisIs1: 	203.04 	AngleAxisIs0: 	231.66 	AngleWheelIs1: 	178.355 	AngleWheelIs0: 	227.725 	PositionError1: 	0.638107 	PositionError0: 	0.431091 	CurrentMust0: 	54 	CurrentIs0: 	58 	CurrentMust1: 	-84 	CurrentIs1: 	-116 	
ArmModuleId: 	0 	Time: 	3181188 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.5 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3713156118 	time_after_control_loop: 	3713189050 	T_diff: 	32932 	AngleAxisMust1: 	227.129 	AngleAxisMust0: 	197.455 	AngleWheelMust1: 	235.469 	AngleWheelMust0: 	218.788 	AngleAxisIs1: 	228.51 	AngleAxisIs0: 	198.45 	AngleWheelIs1: 	219.694 	AngleWheelIs0: 	237.326 	PositionError1: 	-0.905609 	PositionError0: 	-1.85632 	CurrentMust0: 	-547 	CurrentIs0: 	-525 	CurrentMust1: 	318 	CurrentIs1: 	298 	
ArmModuleId: 	1 	Time: 	3248596 	P0: 	100 	P1: 	100 	I0: 	0.3 	I1: 	0.3 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3713223584 	time_after_control_loop: 	3713254758 	T_diff: 	31174 	AngleAxisMust1: 	203.477 	AngleAxisMust0: 	231.231 	AngleWheelMust1: 	227.957 	AngleWheelMust0: 	178.997 	AngleAxisIs1: 	203.13 	AngleAxisIs0: 	231.57 	AngleWheelIs1: 	178.488 	AngleWheelIs0: 	227.772 	PositionError1: 	0.509247 	PositionError0: 	0.185242 	CurrentMust0: 	45 	CurrentIs0: 	42 	CurrentMust1: 	-100 	CurrentIs1: 	-89 	
ArmModuleId: 	0 	Time: 	3338874 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.5 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3713313803 	time_after_control_loop: 	3713346168 	T_diff: 	32365 	AngleAxisMust1: 	226.905 	AngleAxisMust0: 	197.372 	AngleWheelMust1: 	235.206 	AngleWheelMust0: 	218.604 	AngleAxisIs1: 	228.51 	AngleAxisIs0: 	198.54 	AngleWheelIs1: 	219.651 	AngleWheelIs0: 	237.369 	PositionError1: 	-1.04669 	PositionError0: 	-2.16257 	CurrentMust0: 	-760 	CurrentIs0: 	-769 	CurrentMust1: 	420 	CurrentIs1: 	409 	
ArmModuleId: 	1 	Time: 	3402967 	P0: 	100 	P1: 	100 	I0: 	0.3 	I1: 	0.3 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3713377931 	time_after_control_loop: 	3713410044 	T_diff: 	32113 	AngleAxisMust1: 	203.366 	AngleAxisMust0: 	230.987 	AngleWheelMust1: 	227.729 	AngleWheelMust0: 	179.002 	AngleAxisIs1: 	203.04 	AngleAxisIs0: 	231.66 	AngleWheelIs1: 	178.355 	AngleWheelIs0: 	227.725 	PositionError1: 	0.647003 	PositionError0: 	0.00466919 	CurrentMust0: 	31 	CurrentIs0: 	28 	CurrentMust1: 	-140 	CurrentIs1: 	-150 	
ArmModuleId: 	0 	Time: 	3488118 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.5 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3713463023 	time_after_control_loop: 	3713491513 	T_diff: 	28490 	AngleAxisMust1: 	226.689 	AngleAxisMust0: 	197.292 	AngleWheelMust1: 	234.952 	AngleWheelMust0: 	218.426 	AngleAxisIs1: 	228.6 	AngleAxisIs0: 	198.54 	AngleWheelIs1: 	219.741 	AngleWheelIs0: 	237.459 	PositionError1: 	-1.31456 	PositionError0: 	-2.5069 	CurrentMust0: 	48 	CurrentIs0: 	57 	CurrentMust1: 	556 	CurrentIs1: 	556 	
ArmModuleId: 	1 	Time: 	3541529 	P0: 	100 	P1: 	100 	I0: 	0.3 	I1: 	0.3 	D0: 	10 	D1: 	10 	time_before_control_loop: 	3713516450 	time_after_control_loop: 	3713550572 	T_diff: 	34122 	AngleAxisMust1: 	203.258 	AngleAxisMust0: 	230.753 	AngleWheelMust1: 	227.509 	AngleWheelMust0: 	179.007 	AngleAxisIs1: 	203.04 	AngleAxisIs0: 	231.66 	AngleWheelIs1: 	178.355 	AngleWheelIs0: 	227.725 	PositionError1: 	0.651596 	PositionError0: 	-0.215195 	CurrentMust0: 	5 	CurrentIs0: 	-9 	CurrentMust1: 	-167 	CurrentIs1: 	-164 	
ArmModuleId: 	0 	Time: 	3627186 	P0: 	180 	P1: 	180 	I0: 	0.5 	I1: 	0.5 	D0: 	18 	D1: 	18 	time_before_control_loop: 	3713602094 	time_after_control_loop: 	3713632055 	T_diff: 	29961 	AngleAxisMust1: 	226.475 	AngleAxisMust0: 	197.213 	AngleWheelMust1: 	234.699 	AngleWheelMust0: 	218.25 	AngleAxisIs1: 	228.51 	AngleAxisIs0: 	198.45 	AngleWheelIs1: 	219.694 	AngleWheelIs0: 	237.326 	PositionError1: 	-1.44383 	PositionError0: 	-2.62601 	CurrentMust0: 	-151 	CurrentIs0: 	-130 	CurrentMust1: 	675 	CurrentIs1: 	663 	
