ArmModuleId: 	0 	Time: 	2809255 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	1583186617 	time_after_control_loop: 	1583269497 	T_diff: 	82880 	AngleAxisMust1: 	171.81 	AngleAxisMust0: 	175.68 	AngleWheelMust1: 	169.746 	AngleWheelMust0: 	173.874 	AngleAxisIs1: 	171.81 	AngleAxisIs0: 	175.68 	AngleWheelIs1: 	173.874 	AngleWheelIs0: 	169.746 	PositionError1: 	0.000656128 	PositionError0: 	0.00109863 	CurrentMust0: 	1 	CurrentIs0: 	11 	CurrentMust1: 	0 	CurrentIs1: 	4 	
ArmModuleId: 	1 	Time: 	2921903 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1583299313 	time_after_control_loop: 	1583382303 	T_diff: 	82990 	AngleAxisMust1: 	192.51 	AngleAxisMust0: 	147.78 	AngleWheelMust1: 	177.114 	AngleWheelMust0: 	207.906 	AngleAxisIs1: 	192.51 	AngleAxisIs0: 	147.78 	AngleWheelIs1: 	207.906 	AngleWheelIs0: 	177.114 	PositionError1: 	-0.00285339 	PositionError0: 	0.000289917 	CurrentMust0: 	0 	CurrentIs0: 	8 	CurrentMust1: 	2 	CurrentIs1: 	-4 	
ArmModuleId: 	0 	Time: 	3070175 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	1583447545 	time_after_control_loop: 	1583484291 	T_diff: 	36746 	AngleAxisMust1: 	170.657 	AngleAxisMust0: 	176.902 	AngleWheelMust1: 	169.177 	AngleWheelMust0: 	172.138 	AngleAxisIs1: 	171.54 	AngleAxisIs0: 	176.22 	AngleWheelIs1: 	173.346 	AngleWheelIs0: 	169.734 	PositionError1: 	-1.20636 	PositionError0: 	-0.556122 	CurrentMust0: 	-153 	CurrentIs0: 	-129 	CurrentMust1: 	336 	CurrentIs1: 	322 	
ArmModuleId: 	1 	Time: 	3133038 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1583510436 	time_after_control_loop: 	1583539656 	T_diff: 	29220 	AngleAxisMust1: 	192.716 	AngleAxisMust0: 	148.117 	AngleWheelMust1: 	177.482 	AngleWheelMust0: 	207.951 	AngleAxisIs1: 	191.88 	AngleAxisIs0: 	147.06 	AngleWheelIs1: 	207.62 	AngleWheelIs0: 	176.14 	PositionError1: 	0.33139 	PositionError0: 	1.34096 	CurrentMust0: 	217 	CurrentIs0: 	222 	CurrentMust1: 	-51 	CurrentIs1: 	-63 	
ArmModuleId: 	0 	Time: 	3225117 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	1583602483 	time_after_control_loop: 	1583635882 	T_diff: 	33399 	AngleAxisMust1: 	170.492 	AngleAxisMust0: 	177.077 	AngleWheelMust1: 	169.095 	AngleWheelMust0: 	171.888 	AngleAxisIs1: 	170.82 	AngleAxisIs0: 	176.13 	AngleWheelIs1: 	172.669 	AngleWheelIs0: 	168.971 	PositionError1: 	-0.780609 	PositionError0: 	0.124527 	CurrentMust0: 	-37 	CurrentIs0: 	-130 	CurrentMust1: 	340 	CurrentIs1: 	446 	
ArmModuleId: 	1 	Time: 	3302728 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1583680112 	time_after_control_loop: 	1583711928 	T_diff: 	31816 	AngleAxisMust1: 	192.746 	AngleAxisMust0: 	148.165 	AngleWheelMust1: 	177.535 	AngleWheelMust0: 	207.958 	AngleAxisIs1: 	191.7 	AngleAxisIs0: 	147.42 	AngleWheelIs1: 	207.268 	AngleWheelIs0: 	176.132 	PositionError1: 	0.690033 	PositionError0: 	1.40221 	CurrentMust0: 	318 	CurrentIs0: 	251 	CurrentMust1: 	-129 	CurrentIs1: 	-115 	
ArmModuleId: 	0 	Time: 	3393413 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	1583770777 	time_after_control_loop: 	1583803435 	T_diff: 	32658 	AngleAxisMust1: 	170.294 	AngleAxisMust0: 	177.287 	AngleWheelMust1: 	168.997 	AngleWheelMust0: 	171.59 	AngleAxisIs1: 	168.21 	AngleAxisIs0: 	176.31 	AngleWheelIs1: 	169.973 	AngleWheelIs0: 	166.447 	PositionError1: 	1.617 	PositionError0: 	2.55078 	CurrentMust0: 	582 	CurrentIs0: 	595 	CurrentMust1: 	-181 	CurrentIs1: 	-84 	
ArmModuleId: 	1 	Time: 	3456207 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1583833610 	time_after_control_loop: 	1583869128 	T_diff: 	35518 	AngleAxisMust1: 	192.782 	AngleAxisMust0: 	148.223 	AngleWheelMust1: 	177.598 	AngleWheelMust0: 	207.966 	AngleAxisIs1: 	193.23 	AngleAxisIs0: 	149.22 	AngleWheelIs1: 	207.938 	AngleWheelIs0: 	178.522 	PositionError1: 	0.0279388 	PositionError0: 	-0.924744 	CurrentMust0: 	53 	CurrentIs0: 	168 	CurrentMust1: 	-72 	CurrentIs1: 	-88 	
ArmModuleId: 	0 	Time: 	3554721 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	1583932085 	time_after_control_loop: 	1583967651 	T_diff: 	35566 	AngleAxisMust1: 	170.088 	AngleAxisMust0: 	177.505 	AngleWheelMust1: 	168.896 	AngleWheelMust0: 	171.28 	AngleAxisIs1: 	166.32 	AngleAxisIs0: 	176.13 	AngleWheelIs1: 	168.169 	AngleWheelIs0: 	164.471 	PositionError1: 	3.11125 	PositionError0: 	4.42534 	CurrentMust0: 	1295 	CurrentIs0: 	1296 	CurrentMust1: 	-708 	CurrentIs1: 	-697 	
ArmModuleId: 	1 	Time: 	3621676 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1583999065 	time_after_control_loop: 	1584029616 	T_diff: 	30551 	AngleAxisMust1: 	192.818 	AngleAxisMust0: 	148.283 	AngleWheelMust1: 	177.663 	AngleWheelMust0: 	207.974 	AngleAxisIs1: 	194.04 	AngleAxisIs0: 	151.83 	AngleWheelIs1: 	207.501 	AngleWheelIs0: 	180.579 	PositionError1: 	0.473206 	PositionError0: 	-2.91634 	CurrentMust0: 	-312 	CurrentIs0: 	-278 	CurrentMust1: 	-142 	CurrentIs1: 	-161 	
ArmModuleId: 	0 	Time: 	3710803 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	1584088174 	time_after_control_loop: 	1584119584 	T_diff: 	31410 	AngleAxisMust1: 	169.872 	AngleAxisMust0: 	177.735 	AngleWheelMust1: 	168.789 	AngleWheelMust0: 	170.954 	AngleAxisIs1: 	166.41 	AngleAxisIs0: 	176.13 	AngleWheelIs1: 	168.259 	AngleWheelIs0: 	164.561 	PositionError1: 	2.69536 	PositionError0: 	4.22859 	CurrentMust0: 	1445 	CurrentIs0: 	1443 	CurrentMust1: 	-897 	CurrentIs1: 	-897 	
ArmModuleId: 	1 	Time: 	3768377 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1584145749 	time_after_control_loop: 	1584182861 	T_diff: 	37112 	AngleAxisMust1: 	192.857 	AngleAxisMust0: 	148.347 	AngleWheelMust1: 	177.732 	AngleWheelMust0: 	207.982 	AngleAxisIs1: 	193.59 	AngleAxisIs0: 	150.57 	AngleWheelIs1: 	207.653 	AngleWheelIs0: 	179.527 	PositionError1: 	0.329681 	PositionError0: 	-1.79532 	CurrentMust0: 	-316 	CurrentIs0: 	-382 	CurrentMust1: 	-148 	CurrentIs1: 	-114 	
ArmModuleId: 	0 	Time: 	3871037 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	1584248399 	time_after_control_loop: 	1584278380 	T_diff: 	29981 	AngleAxisMust1: 	169.639 	AngleAxisMust0: 	177.981 	AngleWheelMust1: 	168.675 	AngleWheelMust0: 	170.604 	AngleAxisIs1: 	166.32 	AngleAxisIs0: 	176.13 	AngleWheelIs1: 	168.169 	AngleWheelIs0: 	164.471 	PositionError1: 	2.43575 	PositionError0: 	4.20406 	CurrentMust0: 	1440 	CurrentIs0: 	1429 	CurrentMust1: 	-1087 	CurrentIs1: 	-1097 	
ArmModuleId: 	1 	Time: 	3932883 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1584310273 	time_after_control_loop: 	1584336754 	T_diff: 	26481 	AngleAxisMust1: 	192.899 	AngleAxisMust0: 	148.414 	AngleWheelMust1: 	177.806 	AngleWheelMust0: 	207.991 	AngleAxisIs1: 	192.33 	AngleAxisIs0: 	147.87 	AngleWheelIs1: 	207.683 	AngleWheelIs0: 	176.977 	PositionError1: 	0.308685 	PositionError0: 	0.828827 	CurrentMust0: 	-32 	CurrentIs0: 	-45 	CurrentMust1: 	-167 	CurrentIs1: 	-161 	
ArmModuleId: 	0 	Time: 	4019122 	P0: 	200 	P1: 	200 	I0: 	0.6 	I1: 	0.6 	D0: 	18 	D1: 	18 	time_before_control_loop: 	1584396483 	time_after_control_loop: 	1584423613 	T_diff: 	27130 	AngleAxisMust1: 	169.407 	AngleAxisMust0: 	178.227 	AngleWheelMust1: 	168.56 	AngleWheelMust0: 	170.254 	AngleAxisIs1: 	166.41 	AngleAxisIs0: 	176.13 	AngleWheelIs1: 	168.259 	AngleWheelIs0: 	164.561 	PositionError1: 	1.99564 	PositionError0: 	3.99939 	CurrentMust0: 	1399 	CurrentIs0: 	1399 	CurrentMust1: 	-999 	CurrentIs1: 	-1016 	
ArmModuleId: 	1 	Time: 	4076115 	P0: 	120 	P1: 	120 	I0: 	0.4 	I1: 	0.4 	D0: 	10 	D1: 	10 	time_before_control_loop: 	1584453506 	time_after_control_loop: 	1584487890 	T_diff: 	34384 	AngleAxisMust1: 	192.94 	AngleAxisMust0: 	148.482 	AngleWheelMust1: 	177.88 	AngleWheelMust0: 	208.001 	AngleAxisIs1: 	191.97 	AngleAxisIs0: 	147.51 	AngleWheelIs1: 	207.495 	AngleWheelIs0: 	176.445 	PositionError1: 	0.505844 	PositionError0: 	1.43494 	CurrentMust0: 	104 	CurrentIs0: 	96 	CurrentMust1: 	-214 	CurrentIs1: 	-215 	
